主题数,困惑度,一致性
2,-7.451872637726496,0.46617029221676853
3,-7.565073790074983,0.4520589812176645
4,-7.645764456106986,0.4129868836788966
5,-7.683759245377521,0.41118081194453016
6,-7.749293080243339,0.4059156529501997
7,-7.778190042693719,0.45456672472160714
8,-7.888383913952382,0.43095404933366444
9,-7.936093414064189,0.4556205081898698
10,-7.9203659309739445,0.44838835185585707
11,-7.898535435562972,0.436811242404704
12,-7.927912813648733,0.44218809525517183
13,-7.925046477475775,0.4543164384102117
14,-8.03007954379991,0.4666438072469673
