主题数,困惑度,一致性
2,-7.1941027299715925,0.4458151283791597
3,-7.263149618109067,0.5215788104363551
4,-7.36477357596159,0.5468783246282021
5,-7.416311129278097,0.4994786999781792
6,-7.427349338432153,0.4960182201968204
7,-7.54321609632327,0.5237047704256023
8,-7.511651436831706,0.5195367605045096
9,-7.548655508000117,0.4864767422217348
10,-7.618581550396406,0.5258230557066048
11,-7.614098589504376,0.5110253812633586
12,-7.646403721700876,0.48250382626688765
13,-7.61568623987528,0.47787031946707076
14,-7.695053043235571,0.5111655184040155
