主题数,困惑度,一致性
2,-6.5441125814164405,0.4332850160758477
3,-6.601561760945866,0.3852623856022439
4,-6.735397416410658,0.3979838094027115
5,-6.769479464944557,0.4052512775525181
6,-6.861128695098117,0.5176001762957632
7,-6.9627165898306815,0.5024057138766229
8,-6.969106472273809,0.4162151444764125
9,-6.932963547754804,0.3834808400899727
10,-6.88108422659805,0.3812457114390678
11,-6.9424930192824785,0.38087962918017504
12,-7.021311334236587,0.5031813431307647
13,-6.992946932261259,0.37670145276508943
14,-7.163307900618141,0.3604311654138458
