主题数,困惑度,一致性
2,-6.683150153492961,0.5228845604662593
3,-6.80084521397018,0.4655874920286333
4,-6.859992794565662,0.4661898651921513
5,-6.941205916420961,0.44416988078908676
6,-6.94601935182067,0.4536237759821142
7,-6.888913934130674,0.3990533827509823
8,-6.920837551795124,0.41013695004155093
9,-7.027544111656141,0.4248993057816717
10,-7.051682786692555,0.39589340207481666
11,-7.065868664883864,0.4093993567808003
12,-7.061701501606541,0.38711589064389734
13,-7.129097423745609,0.3749278005504146
14,-7.133918794817064,0.3818513914844511
