主题数,困惑度,一致性
2,-8.003196149585623,0.5452872728078992
3,-8.088424197976863,0.5124506970916011
4,-8.179583929048523,0.37853668164286713
5,-8.272066353892507,0.44513833566327027
6,-8.280084216358242,0.3591996596376638
7,-8.303927604303228,0.37471126219805206
8,-8.399992798694916,0.3883535606811658
9,-8.411978792436898,0.4127430507001808
10,-8.446916409937208,0.38513667882983704
11,-8.471865080400997,0.3911545838083233
12,-8.528950339804585,0.3927089432931237
13,-8.534645541234802,0.39735686382317154
14,-8.58598394051573,0.38364452504250746
