主题数,困惑度,一致性
2,-7.350100156634637,0.5089174244097382
3,-7.4275502539076745,0.4862053367440266
4,-7.524414482195129,0.4510112281584563
5,-7.599237837225621,0.4009500619779319
6,-7.6244281617037775,0.4121052768188302
7,-7.665136669653839,0.41778522876527874
8,-7.70120244438576,0.4184166218262296
9,-7.7417211974025015,0.43806441990959605
10,-7.8074457442115985,0.4204537647983281
11,-7.7483592994048465,0.41826731851586074
12,-7.8590521449686275,0.4229754899201583
13,-7.925351820396651,0.3998558288897742
14,-7.935267452281561,0.40571629637360446
