主题数,困惑度,一致性
2,-7.219176796422943,0.30756849948546294
3,-7.296241853996542,0.3780790768606597
4,-7.355567304969353,0.35396147865056404
5,-7.450015554282906,0.3637862311318217
6,-7.495305869027922,0.36546248689676947
7,-7.48227945694663,0.36087448292322166
8,-7.542017174147361,0.3802788189895867
9,-7.601775259096419,0.36447568496829863
10,-7.6347177265605355,0.4022860939400873
11,-7.6496505167906035,0.42030495083964625
12,-7.637256665267825,0.3751541502233236
13,-7.762348277405185,0.3924162981732763
14,-7.7319221414478,0.4353162910733248
