Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重
source,0.022,shoe,0.107,user,0.042
shoe,0.021,running,0.040,product,0.033
sneaker,0.015,sport,0.021,experience,0.024
parent,0.015,comfortable,0.018,brand,0.017
shopping,0.015,material,0.018,process,0.011
brand,0.014,brand,0.015,website,0.011
store,0.012,foot,0.013,designer,0.010
picture,0.010,price,0.013,content,0.009
online,0.009,color,0.012,consumer,0.008
time,0.008,leather,0.011,customer,0.008
price,0.008,"shoes,",0.011,method,0.008
classic,0.007,upper,0.010,technology,0.008
product,0.007,style,0.008,business,0.008
team,0.006,soft,0.007,platform,0.008
experience,0.006,breathable,0.007,store,0.007
nike,0.006,men,0.007,commerce,0.006
woman,0.005,carbon,0.007,company,0.006
fashion,0.005,sole,0.006,cost,0.006
shop,0.005,sol,0.005,system,0.006
technology,0.005,board,0.005,design,0.006
