主题数,困惑度,一致性
2,-7.991881582431797,0.5019886408659676
3,-7.928975770095284,0.5516499247708815
4,-7.963109299298191,0.4800373903848298
5,-7.959502460905133,0.48263872168225835
6,-8.000057048900745,0.4523583005025797
7,-8.122417769461602,0.3996933250586198
8,-8.202935101015504,0.4239099456001877
9,-8.380310554043522,0.4306369570836525
10,-8.56846771030324,0.39684048225455937
11,-8.95803454460697,0.44278263229332265
12,-9.347913115109431,0.4002894163188708
13,-9.96925948088904,0.4114531337889149
14,-10.763874343086,0.378500470204437
15,-11.357017135671086,0.3946477717949168
