所属主题,文章数量,特征词,主题强度
Topic0,5,technology、company、business、system、china、data、development、intelligence、covid、solution、intelligent、tech、artificial、tianjin、digital、industry、sector、user、application、platform,0.090909
Topic1,4,painting、artwork、business、algorithm、time、service、landscape、machine、cloud、industry、data、intelligence、digital、sketch、chinese、artificial、technology、solution、traditional、company,0.072727
Topic2,9,company、technology、malaysia、application、business、court、development、china、user、talent、comment、intelligence、artificial、feature、huawei、drug、sentence、country、industry、internet,0.16364
Topic3,10,technology、competition、human、intelligence、pilot、team、artificial、system、green、company、data、malaysia、student、verse、packet、covid、time、consumer、university、combat,0.18182
Topic4,4,human、machine、team、brain、decision、construction、data、intelligence、student、input、industry、university、coffee、technology、artificial、natural、computer、experience、site、durian,0.072727
Topic5,5,technology、model、position、machine、construction、malaysia、packet、market、investment、green、volt、park、fundamental、sector、industry、safvenblad、artificial、economy、fund、management,0.090909
Topic6,2,image、disease、technology、sony、company、chip、system、sensor、camera、brain、algorithm、facial、patient、artery、coronary、data、chinese、edge、cost、potential,0.036364
Topic7,1,packet、green、kiplelive、thermal、scanner、hctm、school、hospital、technology、malaysia、team、building、digital、covid、international、healthcare、safe、entrance、patient、country,0.018182
Topic8,5,health、technology、model、data、science、process、growth、sector、company、development、semiconductor、industry、malaysia、potential、human、country、project、framework、curriculum、ministry,0.090909
Topic9,7,data、centre、system、technology、cloud、global、intelligence、hyperscale、company、artificial、business、covid、demand、university、fire、malaysia、service、role、accountant、accounting,0.12727
Topic10,1,healthcare、data、demand、economic、business、medical、hospital、global、science、technology、access、term、life、chain、diagnosis、pandemic、germany、professional、massive、patient,0.018182
Topic11,2,customer、packet、company、green、software、service、cisco、relationship、court、data、opportunity、system、cloud、park、provider、technology、interaction、statement、capability、offering,0.036364
