Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重
technology,0.014,system,0.010,technology,0.014,heart,0.008,food,0.013,social,0.009,development,0.013,cancer,0.010,application,0.011,data,0.014,china,0.011
human,0.009,data,0.010,people,0.012,time,0.007,company,0.010,medium,0.007,account,0.012,digital,0.009,technology,0.008,system,0.014,investment,0.010
intelligence,0.008,human,0.010,company,0.012,people,0.007,waste,0.008,tool,0.006,social,0.010,team,0.007,human,0.008,technology,0.012,industry,0.009
user,0.007,artificial,0.009,data,0.009,startup,0.006,news,0.007,russian,0.005,silterra,0.009,people,0.007,time,0.008,people,0.009,school,0.008
tech,0.006,technology,0.008,system,0.009,risk,0.005,cloud,0.007,internet,0.005,network,0.009,tissue,0.006,relationship,0.008,time,0.007,startup,0.008
artificial,0.006,global,0.008,video,0.006,digital,0.004,intelligence,0.006,content,0.005,policy,0.009,tumour,0.006,solution,0.007,company,0.007,report,0.007
development,0.006,company,0.007,security,0.006,persona,0.004,cost,0.006,authority,0.005,news,0.008,company,0.006,smart,0.007,malaysia,0.006,company,0.006
time,0.006,intelligence,0.007,business,0.006,medicine,0.004,business,0.006,russia,0.005,global,0.008,healthcare,0.006,artificial,0.006,challenge,0.006,simulator,0.006
system,0.005,malaysia,0.007,decision,0.006,model,0.004,artificial,0.005,online,0.004,disinformation,0.007,business,0.006,intelligence,0.006,intelligence,0.006,technology,0.006
virtual,0.005,country,0.006,human,0.006,scientist,0.004,century,0.005,system,0.004,team,0.007,test,0.006,security,0.006,crime,0.006,training,0.006
data,0.005,people,0.006,government,0.005,detect,0.003,human,0.005,people,0.004,international,0.006,persona,0.006,malaysia,0.006,county,0.006,growth,0.006
xiaoice,0.005,government,0.006,intelligence,0.005,field,0.003,service,0.005,post,0.004,organisation,0.006,news,0.005,system,0.006,petrosains,0.006,real,0.006
company,0.005,project,0.005,surveillance,0.005,medical,0.003,star,0.005,shabanov,0.003,operation,0.006,origin,0.005,science,0.005,police,0.005,temple,0.006
social,0.005,business,0.005,time,0.005,cardiac,0.003,technology,0.005,fine,0.003,artificial,0.006,doctor,0.005,computer,0.005,service,0.005,country,0.006
global,0.005,development,0.005,artificial,0.005,person,0.003,firm,0.005,police,0.003,impact,0.006,patient,0.005,surveillance,0.005,public,0.005,student,0.005
tool,0.004,innovation,0.005,service,0.005,arrhythmia,0.003,activity,0.005,government,0.003,intelligence,0.005,person,0.004,apps,0.005,education,0.005,traditional,0.005
patent,0.004,solution,0.005,digital,0.005,researcher,0.003,data,0.004,putin,0.003,national,0.005,global,0.004,video,0.005,digital,0.005,video,0.005
life,0.004,machine,0.005,regulation,0.005,system,0.003,time,0.004,head,0.003,semiconductor,0.005,researcher,0.004,people,0.004,robotics,0.005,city,0.005
china,0.004,future,0.005,public,0.004,code,0.003,platform,0.004,activist,0.002,system,0.005,interact,0.004,game,0.004,ship,0.005,woman,0.005
computer,0.004,city,0.004,social,0.004,occurrence,0.003,maker,0.004,saxophonist,0.002,medium,0.005,intelligence,0.004,life,0.004,artificial,0.004,sector,0.004
