主题数,困惑度,一致性
2,-7.695693736367151,0.2927094632663522
3,-7.82553251993214,0.3403145681329631
4,-7.984131728751116,0.3361996858349472
5,-8.141555408076961,0.3247785338564343
6,-8.280074190438729,0.2970782946398631
7,-8.405723289059164,0.3519706726310838
8,-8.484071235995717,0.29652597221703897
9,-8.647862328775316,0.2982624054366341
10,-8.754782649579923,0.2956780496113279
11,-8.83858425721094,0.34919655645902326
12,-9.06058991419464,0.31548631607689626
13,-9.107715389598736,0.3391668157553932
14,-9.236605551368386,0.302603977039126
15,-9.229718085922233,0.3463367486587359
