主题数,困惑度,一致性
2,-7.578261538947121,0.1585050869815104
3,-7.657915141964051,0.20451979665576822
4,-7.731734457903813,0.18773523740832793
5,-7.800874825112114,0.1957358368510425
6,-7.838952931322468,0.21419200828600857
7,-7.864808084187586,0.21973445583814138
8,-7.918420343077515,0.2038471262170688
9,-7.960467817431293,0.22543374516624676
10,-8.004760809711305,0.20233251394793408
11,-8.02569695519453,0.22630400154436636
12,-8.074636281010061,0.22335024589861938
13,-8.097198463275928,0.23732852739933166
14,-8.129248209399103,0.21857677726819508
