word,counts
beautiful,5
china,4
amazing,4
culture,3
shu,3
head,3
sanxingdui,2
combined,2
awesome,2
fantastic,2
animal,2
people,2
hungarian,2
chinese,2
statue,2
fascinated,2
transylvania,2
met,2
cute,2
creature,1
planet,1
handsome,1
stunning,1
fant,1
stico,1
super,1
pasado,1
arqueol,1
gico,1
fabuloso,1
chapeau,1
cooking,1
garing,1
grilling,1
nan,1
wonderful,1
piece,1
missing,1
middle,1
top,1
level,1
magnificent,1
wanna,1
goo,1
dna,1
testing,1
remains,1
body,1
graf,1
public,1
artifact,1
bettet,1
wait,1
figure,1
ice,1
cream,1
melting,1
creatively,1
destination,1
picture,1
screen,1
saver,1
gorgeous,1
clap,1
hand,1
guy,1
front,1
checking,1
facebook,1
tiger,1
leopard,1
descendent,1
transylvanian,1
studied,1
neolithic,1
copper,1
age,1
archaeology,1
visited,1
archaeological,1
cung,1
tomb,1
qin,1
shihuang,1
cultural,1
exhibition,1
bucharest,1
refering,1
ago,1
looked,1
mask,1
spoke,1
village,1
lived,1
heavy,1
smoker,1
deep,1
voice,1
ancestor,1
arrived,1
