word,counts
send,110
pic,91
wow,29
love,28
cute,25
beautiful,23
promote,21
follow,12
hua,9
nice,9
sichuan,9
amazing,8
panda,8
chinese,7
happy,7
time,6
day,6
post,6
adorable,5
romantic,5
china,5
atmosphere,5
feel,5
lovely,5
baby,4
absolutely,4
awesome,4
cool,4
photo,4
visit,4
delicious,4
wonderful,4
friend,4
fantastic,4
hard,3
culture,3
true,3
hehua,3
huahua,3
muah,3
soo,3
superstar,3
relaxing,3
girl,3
ton,3
view,3
video,3
cutie,3
food,3
festival,3
color,3
expected,3
hotpot,3
enjoy,3
instagram,3
special,3
mid,3
autumn,3
picture,3
shot,3
image,3
baijiu,3
followrs,3
content,2
city,2
dynasty,2
cuttest,2
animal,2
meal,2
sweet,2
bamboo,2
shoot,2
linda,2
fafa,2
cuteness,2
credit,2
luo,2
watching,2
eat,2
round,2
fun,2
drink,2
refreshing,2
experience,2
beatiful,2
story,2
check,2
idea,2
enjoying,2
relaxed,2
watch,2
chongqing,2
energy,2
chain,2
worth,2
xiang,2
snack,2
excellent,2
reunion,2
capture,2
