word,counts
sichuan,595
chengdu,375
city,157
morning,133
day,133
people,133
mountain,131
chinese,124
china,119
panda,114
lake,88
tibetan,87
prefecture,81
park,81
province,77
spring,76
time,75
enjoy,61
autonomous,60
credit,59
tea,56
hua,55
tree,53
flower,53
street,53
national,53
sweet,49
giant,49
garz,49
bamboo,49
snow,48
ancient,48
county,45
rice,43
cute,42
beautiful,41
food,41
night,40
sanxingdui,39
water,38
forest,38
traditional,37
view,37
bronze,36
don,36
festival,36
life,36
winter,35
golden,35
light,34
located,33
cultural,33
cake,33
site,32
friend,32
happy,31
nature,31
taste,31
autumn,29
video,29
culture,29
western,29
love,29
snack,29
district,29
natural,29
summer,28
shu,28
river,28
red,28
meat,28
eat,28
scenic,28
road,28
aba,27
weekend,26
leaf,26
special,26
beauty,26
local,26
game,26
sun,25
hot,25
feel,25
blossom,25
dynasty,24
photo,24
dujiangyan,24
fall,23
white,23
green,23
tourist,23
sea,23
fried,23
season,22
head,22
eating,22
ice,22
tower,22
museum,21
