word,counts
morning,434
sanxingdui,274
sichuan,257
bronze,204
chengdu,184
day,169
dear,157
people,153
site,148
china,146
time,134
chinese,134
city,122
panda,120
pit,105
relic,101
cultural,100
friend,96
province,96
happy,91
ancient,87
head,80
gold,73
watch,71
dynasty,70
enjoy,68
county,68
video,65
bird,63
shu,63
giant,62
mask,61
international,60
museum,58
unearthed,57
mountain,57
ago,55
festival,55
excavated,54
episode,54
tree,53
coming,53
culture,52
national,52
held,50
night,50
check,49
shaped,48
life,48
jade,47
game,47
park,47
human,45
spring,45
friday,44
photo,44
largest,44
snow,44
weekend,41
eye,39
golden,39
tiger,38
piece,36
visit,36
traditional,36
monday,36
love,36
western,36
figure,35
story,35
university,35
prefecture,35
don,34
start,33
archaeological,33
sacrificial,33
bamboo,33
artefact,32
total,32
shape,32
experience,32
road,32
beautiful,32
civilization,31
guess,31
top,31
meet,31
sun,30
sacred,30
dragon,30
follow,30
base,29
artifact,29
statue,29
excavation,29
food,29
discovered,28
song,28
river,28
forward,28
