word,counts
sanxingdui,1200
sichuan,1091
morning,960
bronze,858
china,678
chengdu,595
site,538
chinese,526
people,486
day,472
relic,450
pit,401
cultural,393
time,364
ancient,346
city,320
video,316
head,313
mask,284
panda,279
gold,268
museum,264
shu,249
unearthed,244
culture,236
province,236
dynasty,227
bird,226
tree,220
friend,218
excavated,216
mountain,212
ago,207
happy,202
shaped,184
human,179
jade,173
dear,171
eye,162
spring,157
enjoy,154
beautiful,150
send,149
national,147
photo,144
archaeological,143
shape,141
love,141
life,140
sacrificial,137
figure,135
coming,134
sacred,134
cute,133
pottery,130
discovery,130
tiger,130
park,130
visit,129
giant,129
festival,129
ruin,128
artefact,128
watch,127
county,127
don,126
weekend,125
nice,123
dragon,122
piece,118
lake,118
prefecture,118
night,116
international,115
top,115
golden,114
artifact,114
excavation,111
sun,108
traditional,108
tibetan,108
civilization,107
statue,107
discovered,106
vessel,106
guess,106
river,106
largest,103
bamboo,103
friday,102
snow,101
pic,101
flower,100
game,97
credit,96
experience,96
food,96
archaeologist,95
start,92
meet,92
check,91
story,89
center,88
monday,88
animal,87
century,85
history,84
held,83
western,83
follow,82
restoration,82
join,81
tea,80
ware,79
light,79
song,78
view,78
autonomous,78
stone,76
winter,76
picture,76
feel,75
pattern,75
silk,75
treasure,74
colour,74
ritual,74
located,73
term,73
zun,73
sweet,73
art,72
base,72
road,72
live,71
street,71
autumn,71
water,71
heritage,70
amazing,70
ivory,70
wow,70
unique,69
solar,69
painting,68
daily,68
total,68
body,68
ready,68
eat,68
hot,68
including,67
mysterious,66
late,66
shang,66
forward,66
wide,66
hua,66
family,65
famous,65
university,65
special,64
cool,64
rice,63
tang,63
guanghan,62
hall,62
called,62
episode,60
real,60
beauty,60
cold,60
nature,60
exhibition,59
jinsha,59
sky,59
object,59
kneeling,59
hand,58
age,58
square,58
red,58
holding,58
country,58
summer,58
forest,58
week,57
green,56
style,56
design,55
dating,55
public,55
news,55
journey,54
officially,54
click,54
height,54
fall,54
scene,54
started,53
