word,counts
film,288
chinese,218
china,195
movie,139
animation,122
nezha,118
animated,105
god,82
box,70
office,70
character,62
story,60
king,59
time,56
demon,56
yang,55
feature,54
release,53
audience,51
child,42
hero,42
jiang,42
hit,38
ziya,38
theater,37
snake,36
released,35
title,34
parent,33
summer,33
dragon,32
director,31
success,30
fate,30
based,29
blockbuster,28
sea,28
power,28
record,28
market,27
legend,27
action,27
fight,27
local,27
studio,26
international,26
day,26
enlight,25
pearl,25
industry,25
white,25
people,25
usa,25
domestic,24
american,24
heaven,24
scene,24
north,24
share,24
america,23
set,22
series,22
production,22
fantasy,22
mythology,22
jiaozi,22
global,21
family,21
born,21
august,20
biggest,20
beijing,20
investiture,20
country,20
july,20
figure,20
evil,20
fengshen,20
red,20
tale,19
disney,19
universe,19
weekend,19
son,19
party,19
fan,19
earned,19
week,18
dynasty,18
history,18
top,18
monkey,18
review,18
billion,18
boy,18
epic,17
picture,17
entertainment,17
light,17
article,17
photo,16
adaptation,16
highestgrossing,16
master,16
company,16
chang,15
successful,15
screen,15
email,15
classic,15
directed,15
life,15
deity,15
human,15
traditional,15
chaser,15
reborn,15
imax,15
culture,15
zootopia,14
produced,14
guardian,14
jing,14
spirit,14
bring,14
yanyi,14
lord,14
chengdu,14
coloroom,14
rmb,14
operation,14
cinema,13
hollywood,13
love,13
wolf,13
father,13
boxoffice,13
month,13
battle,13
fox,13
wellknown,13
medium,13
prince,13
east,13
oscar,13
appears,12
warrior,12
ancient,12
city,12
west,12
earth,12
shen,12
image,12
version,12
original,12
including,12
struggle,12
modern,12
taiyi,12
middle,12
tang,11
franchise,11
focus,11
half,11
festival,11
giant,11
wandering,11
special,11
magical,11
village,11
reincarnation,11
project,11
message,11
harry,11
war,11
hong,10
kong,10
hope,10
beloved,10
contemporary,10
popular,10
break,10
isn,10
mythological,10
destiny,10
bai,10
magic,10
continues,10
green,10
short,10
creation,10
lot,10
superhero,10
body,10
leading,10
experience,10
maoyan,10
triumph,10
sequence,10
grossed,10
