Source,Target,Type,Weight
vacuna,pandemia,Undirected,26
vacuna,salud,Undirected,15
vacuna,covid,Undirected,33
vacuna,mexico,Undirected,27
vacuna,pais,Undirected,10
vacuna,paises,Undirected,21
vacuna,vacunas,Undirected,12
vacuna,ano,Undirected,10
vacuna,ser,Undirected,13
vacuna,china,Undirected,14
vacuna,mundo,Undirected,11
vacuna,presidente,Undirected,10
vacuna,ebrard,Undirected,11
pandemia,salud,Undirected,32
pandemia,covid,Undirected,81
pandemia,asi,Undirected,16
pandemia,desarrollo,Undirected,12
pandemia,mexico,Undirected,49
pandemia,global,Undirected,11
pandemia,menos,Undirected,11
pandemia,embargo,Undirected,10
pandemia,personas,Undirected,15
pandemia,meses,Undirected,11
pandemia,pais,Undirected,38
pandemia,humanidad,Undirected,12
pandemia,enfermedad,Undirected,12
pandemia,paises,Undirected,39
pandemia,mundial,Undirected,17
pandemia,vacunas,Undirected,16
pandemia,dijo,Undirected,19
pandemia,ano,Undirected,24
pandemia,millones,Undirected,17
pandemia,naciones,Undirected,12
pandemia,ser,Undirected,25
pandemia,china,Undirected,43
pandemia,mundo,Undirected,33
pandemia,mil,Undirected,20
pandemia,crisis,Undirected,20
pandemia,estadosunidos,Undirected,31
pandemia,coronavirus,Undirected,44
pandemia,presidente,Undirected,32
pandemia,comunidad,Undirected,10
pandemia,apoyo,Undirected,11
pandemia,parte,Undirected,15
pandemia,sido,Undirected,13
pandemia,internacional,Undirected,12
pandemia,enfrentar,Undirected,11
pandemia,anos,Undirected,18
pandemia,despues,Undirected,10
pandemia,tiempo,Undirected,11
pandemia,virus,Undirected,21
pandemia,casa,Undirected,10
pandemia,ebrard,Undirected,12
pandemia,canciller,Undirected,10
pandemia,ademas,Undirected,10
pandemia,relaciones,Undirected,11
pandemia,ahora,Undirected,10
pandemia,vida,Undirected,13
pandemia,frente,Undirected,11
pandemia,dias,Undirected,16
pandemia,gobierno,Undirected,27
pandemia,lopez,Undirected,14
pandemia,obrador,Undirected,10
pandemia,puede,Undirected,14
pandemia,solo,Undirected,22
pandemia,insumos,Undirected,10
pandemia,estan,Undirected,16
pandemia,nacional,Undirected,11
pandemia,medicos,Undirected,11
pandemia,donaldtrump,Undirected,10
pandemia,poblacion,Undirected,10
pandemia,secretario,Undirected,10
pandemia,economia,Undirected,12
pandemia,mejor,Undirected,11
salud,covid,Undirected,41
salud,asi,Undirected,10
salud,mexico,Undirected,24
salud,pais,Undirected,17
salud,paises,Undirected,18
salud,vacunas,Undirected,10
salud,ser,Undirected,10
salud,china,Undirected,20
salud,mundo,Undirected,13
salud,mil,Undirected,12
salud,estadosunidos,Undirected,14
salud,coronavirus,Undirected,16
salud,presidente,Undirected,11
salud,parte,Undirected,11
salud,virus,Undirected,10
