主题数,困惑度,一致性
2,-6.61771626977198,0.3327306753471374
3,-6.642624342647025,0.3208873778688439
4,-6.668759968013835,0.3612630058616193
5,-6.7222014097131435,0.3424861676058788
6,-6.741469530758625,0.3292526278512456
7,-6.797596493078151,0.35194453527057223
8,-6.81166860452272,0.33214533075008146
9,-6.890316050058047,0.317330773283697
10,-6.885400945066979,0.31949059913357
11,-6.947712843538085,0.30378582348909816
12,-6.970340111857143,0.3146569202778681
13,-7.000379489365845,0.3273892658961808
14,-7.0447613613818065,0.32712340456166017
15,-7.081658779336627,0.32881710324577623
