关键词,标题,提问时间,提问内容,地方,官方答复,答复时间,提问内容_positive_probs,提问内容_negative_probs,官方答复_positive_probs,官方答复_negative_probs
病毒,希望加大电梯消毒频率，减少病毒传染风险,2022-12-07 09:37,希望加大槐荫区西市场街道北大槐树家园北区电梯消毒频率，减少病毒传染风险。,留言对象：山东省济南市槐荫区委书记,"尊敬的网友：
      您好！您反映的问题，槐荫区西市场街道办事处进行了调查处理，现回复如下：
      办事处城管科已督促北大槐树家园物业加强电梯的消毒，消毒频次增加一倍，同时在电梯内放置酒精消毒液，方便群众自我防护。
      感谢您的留言，祝您生活愉快！",2022-12-14 09:45,0.0251,0.9749,0.2149,0.7851
病毒,关于加强新冠病毒致病性及治疗的市民教育,2022-11-20 11:53,"首先感谢疫情期间各级同志们辛苦的付出，你们的责任感和关心百姓看得到。
随着疫情的发展，病毒的病理本身也在发生变化。但除了防疫政策和现状数据的发布，对病毒本身科学的原理，毒性发展，目前致病性数据，百姓关心的如果阳性该以什么样的科学方法及理性心态去应对却教育的非常少，知识普及的非常少。
信息同步，科学应对，除了听政府的，也要懂原理，有对病毒理性的认知。
希望发挥我省我市所有官方媒体，专业媒体，大咖专家优势，将知识普及下去，大家明白了，理解了，也就放松了，听话了，接受了，心态好免疫力高了，防治更有信心了！
希望予以重视并真的去实施。感谢！",留言对象：山西省太原市委书记韦韬,"       网友您好！您的留言已收悉，并转相关单位参阅。
       在此，真诚地希望您继续关心太原的经济社会发展，并对相关工作予以监督，提出宝贵的意见和建议。",2022-12-05 11:47,0.8793,0.1207,0.5573,0.4427
病毒,小区绿地垃圾长期不处理，可能滋生病毒细菌,2022-04-17 19:54,朝阳区华威北里10号楼南侧，11号楼北侧绿地内，长期存在垃圾堆放问题，不仅影响城市环境，在疫情当下，更有可能滋生细菌病毒，希望相关部门认真处理，及时清理，并建立机制杜绝再次发生，死灰复燃。,留言对象：北京市委书记尹力,"您好，关于您反映的问题，朝阳区回复：经潘家园街道核实，华威北里10号楼南侧，11号楼北侧绿地存在斑秃现象导致生活和建筑垃圾时有堆积，针对此问题华威北里社区与负责该楼院的首华物业取得联系，要求物业保洁加强巡视和清理力度，禁止垃圾过夜堆放情况出现，做到每日一清，每日必清。社区已在斑秃的绿化带上安装了警示牌禁止堆放垃圾，下一步将上报街道绿化队，对斑秃绿化带进行黄杨补种工作。感谢您对我们工作的理解与支持！
",2022-05-05 10:22,0.0646,0.9354,0.3952,0.6048
病毒,请领导解决清理垃圾产生异味，细菌，病毒的问题,2022-08-26 08:49,尊敬的领导您好，我所住的小区，11号楼与10号楼之间有两个垃圾箱，原来是放在两个楼之间停车场那一侧的，不知道什么时候移动到小花园这边了。每天凌晨环卫单位清理垃圾的时候，我家都会产生垃圾的臭味，不知道其中是否有细菌，病毒。我家有一个刚出生的小婴儿。肺炎刚治愈刚出院，现在体温还是反复。恳请领导关怀，将这两个垃圾箱移动回原来的位置，不要放在我家楼下。万分感谢。,留言对象：天津市红桥区委书记李清,"尊敬的网友：
    您好，接件后我区高度重视，立即责成西沽街道办事处进行办理，现将工作开展情况回复如下：
    经核实，您反映的垃圾桶位于燕宇新城小区10号楼1门前，目测距离您的住所直线距离超过20米，因该垃圾桶在此处已摆放超过3年，周边居民已形成投放习惯，如果取消放置将给其他居民造成极大不便，并容易导致随意丢弃垃圾的问题。    
    针对您提出的问题，西沽街将采取以下四项措施：
    一是将督促玉禾田公司在垃圾清运的过程中做好密闭。
    二是要求物业公司做好垃圾桶的清洁及消毒工作，避免造成环境污染和细菌传播。
    三是要求社区在周边区域寻找合适点位，在征得周边居民同意的情况下对垃圾桶进行适当挪移。
    四是做好宣传引导工作，提示周边居民投放垃圾时随手盖盖，避免气味外溢。
    相关部门工作人员已通过电话方式与您联系，您对办理结果表示满意。
    希望您一如既往地关心支持我们的工作，提出更多更好的意见和建议。祝您生活愉快！",2022-09-15 17:32,0.119,0.881,0.7217,0.2783
病毒,疫情病毒容易扩散,2022-07-28 09:49,大连开发区旭辉公元与新青年汇交界处应该是一个美好环境。奈何不知道哪个部门不作为还是……卫生防疫做的相当不好。周围已经有人因为这样的环境生病了。希望领导重视，提上日程，让市民看到结果，没有消息只能往上面继续找。,留言对象：辽宁省大连市金普新区党工委书记,"尊敬的网友：

      您好！您的留言已收悉。经新区相关部门调查核实，新青年汇垃圾点属于生活垃圾暂存点，最近是因为坤龙建设每天清理垃圾不及时，并且每次来都没有将全部的垃圾带走导致的。现新区相关部门已经约谈了坤龙建设工作人员沟通此事，并告知每天必须清理垃圾要彻底。坤龙建设工作人员表示马上整改，每次清理垃圾一定会彻底，还小区居民一个良好的生活环境。给您带来不便，请多多谅解。感谢您的理解与支持，祝您生活愉快。",2022-08-03 15:00,0.1204,0.8796,0.1215,0.8785
病毒,施家乐小区垃圾遍野，病毒滋生，无人问津！,2022-03-17 08:27,"目前施家乐小区垃圾泛滥，持续已经半个多月，夏天来临，天气高温以及雨水发酵，目前已滋生了很多蚊虫、老鼠，恶臭难闻，可能会产生大量病毒，危害武陵源的生态环境以及大家的身体健康！在这样的恶臭下，老百姓如何生活呢？？吃饭的时候都不一定吃得下去！希望相关领导干部能出面解决一下！！给老百姓一个健康、干净的生活环境！感谢！

同时垃圾成堆这个事情！每年都要上演这么几出，至于是什么原因出现这类情况，作为老百姓也很疑惑，我们每年的物业费用、停车费用都是按时上交，小区还有额外收取的广告费用，难道这些还不能让物业正常运转吗？？小区财务管理到底是什么情况？我们从不得知！",留言对象：湖南省张家界市武陵源区委书记,"尊敬的网友:
    您好，就您反映的问题，现回复如下:
    经核实，施嘉洛安置小区物业不清理小区垃圾是因绿雅物业公司资金困难，且收取安置户物业费难度大，致使公司无法正常运转而造成，3月20日下午住建局会同住保中心就小区垃圾未及时清运一事与军地街道、宝峰路社区、小区业委会主任、绿雅物业公司负责人进行沟通交流，会后已立即整改，并保证今后不在发生类似事情。

    感谢您对我们工作的支持和监督!

   武陵区住房保障和房产市场服务中心
     2022年4月2日",2022-04-08 09:04,0.0069,0.9931,0.589,0.411
病毒,急需海南省肾移植大病门特整改,2022-05-23 16:21,尊敬的领导您好，我系肾移植患者之一，咱们海南省这边的移植特殊门诊的额度只有4500。完全不够复查+抗排斥药+辅助药的！常规的复查药物浓度和彩超以及三个月一测的巨细胞病毒+jcv病毒+bk病毒检测等等。基本医疗得不到保障！对于我们这些没有收入的患者来说是雪上加霜。恳请领导帮帮我们这个急需帮助的群体吧。,留言对象：海南省省长冯飞,"尊敬的网民：
    您好！目前我省城镇从业人员基本医疗保险门诊忄曼性特殊疾病器官移植术后（肾移植）月定额标准为4500元/月。基本医疗保险具有普惠性，保障的是广大参保人员的基本医疗需求，调整器官移植术后（肾移植）月定额标准需要进行论证。
    下一步，我们将组织开展相关政策评估，结合我省实际，对医保待遇实行动态调整。 
",2022-06-02 09:41,0.1105,0.8895,0.9926,0.0074
病毒,河科大第五附属医院核酸单采费用23.1,2022-05-18 14:29,4月29日，河南省医疗保障局等六部门联合印发《关于进一步降低新型冠状病毒核酸检测项目价格的通知》（豫医保办〔2022〕15号），明确自2022年5月1日起，新型冠状病毒核酸检测标本单采项目价格由18元/人次下调至14元/人次（不含核酸检测扩增试剂），新型冠状病毒核酸检测标本混采项目价格由8元/人次下调至4元/人次（含相关试剂及耗材）。然而河科大第五附属医院核酸单采费用却23.1。希望有关部门予以调整！,留言对象：河南省洛阳市委书记江凌,"网友您好！您反映的问题，经核实：
     相关工作人员电话联系与您解释：各级公立医疗机构和疾控机构开展新型冠状病毒核酸检测（标本单采）时，14元指的是单采标本费用，不包含检测试剂价格，采购扩增试剂价格超过10元的，项目价格自动下浮，确保向群众收取的检测项目费用和试剂费用总和不得超过24元/人次。按照收费标准河科大第五附属医院没有多收。
     欢迎您继续关注我们的工作，及时给我们提出宝贵意见和建议。
      ",2022-05-23 10:23,0.0029,0.9971,0.2616,0.7384
病毒,关于北京防疫政策的相关问题,2022-04-05 17:55,请问北京防疫政策中“14日内有1例以上(含1例)本土新冠病毒感染者所在县(市、区、旗)旅居史人员严格限制进(返)京”中的县(市、区、旗)是如何界定，同一城市的其他区域有本土新冠病毒感染者，影响邻区人员的进京吗？肿瘤病人手术有特殊政策吗，谢谢,留言对象：北京市委书记尹力,"您好！
北京市新型冠状病毒肺炎疫情防控工作第259场、第268场、第292场、第300场新闻发布会发布，进返京须持48小时内核酸检测阴性证明和“北京健康宝”绿码，进返京人员在抵京后72小时内须进行一次核酸检测，环京地区通勤人员按照现有的规定继续执行，即首次进返京须持48小时内核酸检测阴性证明，此后每次进返京持14日内核酸检测阴性证明即可。14日内有1例以上（含1例）本土新冠病毒感染者所在县（市、区、旗）旅居史人员严格限制进返京。14日内有陆路边境口岸所在县（市、区、旗）旅居史人员非必须不进返京。对所有来（返）京人员，在继续坚持原有管控措施基础上，进一步严格落实个人防疫主体责任，抵京前或抵京后12小时内利用“京心相助”向所在社区（酒店、单位、村）等报备；抵京24小时后、72小时内开展1次核酸检测；返京后7日内不聚餐、不聚会、不前往人群密集场所；提倡单位要求职工返岗前48小时内加做1次核酸，检测阴性结果未出之前采取居家办公。同时，按照我市新型冠状病毒肺炎疫情防控工作要求，自4月3日起，上海来京旅客（含到京中转）抵京后，须由机场、火车站“点对点”闭环转运至在京住所，进行14天居家隔离（包括同住人员），不符合居家隔离条件的，一律集中隔离。上海来京人员需提前12小时通过“京心相助”小程序填报来京信息，没有提前填报来京信息的，原则上闭环转运进行集中隔离。机要通信、重要公务人员，在严格闭环管理、做好个人防护前提下，可不进行隔离观察。对于上海入境人员，14天隔离期满后在做好个人防护基础上立即前往无疫情地区，入境满21天后进京的，可不作为有上海旅居史人员实施管控。提示：请关注防控提醒和短信提示，及时开展核酸检测筛查。“北京健康宝”将通过核酸检测数据库进行比对，未能按时进行检测的将进行弹窗提示，可能会影响您的出行和日常生活。请自觉遵守防疫规定，抵京后第一时间主动向所在社区（村）、单位或酒店报告，配合做好核酸检测、落实隔离观察、健康监测及健康管理等防疫工作。不主动报告或不配合防疫工作,造成严重后果的，将依法依规追究相关责任。
如您属于待进（返）京人员，近14天曾到访有一例及以上本土新冠病毒感染者的县(市、区、旗)，根据北京市进（返）京防疫政策，请暂缓来京。待该地区连续14天无新增本土感染者或转为低风险地区或您离开上述地区已满14天，可通过健康宝重新申请获取“绿码”进京；如您过去14天有陆路边境口岸所在县（市、区、旗）旅居史，根据北京市防疫政策，非必须不进（返）京。如您离开上述地区满14天后，可通过健康宝重新申请获取“绿码”状态；如您与京内外的疫情风险地区、风险点位、风险人员等有时空关联，请暂缓来京。待排除疫情关联风险、满足14天内无涉疫县（市、区、旗）旅居史等进（返）京其他规定后，您可通过健康宝重新申请获取“绿码”状态。如您不属于北京市目前规定的暂缓进京人员，北京健康宝未赋绿码，建议您在北京健康宝出现弹窗后，及时前往当地防疫部门公布的核酸检测机构进行采样检测，以便检测结果能够及时上传国家或北京市核酸检测平台。
如您目前在京内，北京健康宝出现弹窗，按照北京市防疫政策，您有如下任一情况时，需要在规定时间内完成核酸检测：①进（返）京后（72小时内）；②近期有购买“四类”药品（72小时内）；③出现发热等“十一类”症状到诊所等基层医疗机构就诊（72小时内）；④所从事职业有相关要求等其他防疫规定情况。请您在出现此弹窗后，及时前往当地防疫部门公布的核酸检测机构（可在“健康宝”通知栏或“健康北京”微信公众号查询）进行采样检测，通过北京健康宝“核酸疫苗服务查询”功能查询到您的最新检测记录后，将于当日24时刷新恢复绿码。如在京内做的核酸检测，24小时仍查询不到结果的，您可前往社区（村）、酒店或有关部门线下凭纸质核酸检测报告解除。如您属于因途经或到访过涉疫风险地区，与国内目前病例同时空轨迹关联人员，或14日内有陆路边境口岸所在县旅居史人员，北京健康宝出现弹窗，请立即向所居住的社区、村、酒店或单位（学校、工厂、工地、大院等）报告并履行要求的防疫义务。如未向相关部门报告，“弹窗”无法解除（自行核酸检测不能自动解除本“弹窗”），直至满足14天无相关涉疫地区旅居史或陆路边境口岸所在县（市、区、旗）旅居史，以及相关疫情风险得到有效控制或后续流调数据能够排除关联风险。如您不属于上述情况，建议您及时向所居住的社区、村、酒店或单位（学校、工厂、工地、大院等）报告，配合有关单位落实防控要求，并对您的具体情况进行研判。
如您属于入境人员，请您按照北京市入境防疫政策履行隔离防疫义务。北京口岸入境人员在14天集中隔离期满后实施7天集中或居家隔离（具体以社区或隔离点的答复为准，请积极配合社区或隔离点的疫情防控要求）；国内其他口岸入境满21天人员方可进京，进京后要到所属社区报到，并积极配合社区做好各项疫情防控工作。拟进（返）京日期（不含当日）前14日该县无新增本土新冠病毒感染者，即可持48小时内核酸检测阴性证明和“北京健康宝”绿码进京。有来京就医计划的。可通过当地医院与北京有关医院联系，采取远程医疗等方式进行会诊，然后决定进一步治疗方案。感谢您对北京市疫情防控工作的支持！",2022-04-06 15:56,0.1581,0.8419,0.9512,0.0488
病毒,疫情形势严峻，建议2022云南公务员考试时间延后,2022-03-12 08:27,目前，新冠疫情形势严峻，部分地区出现感染奥米克戎变异病毒，云南省考即将于3月26日举行，时间紧，今年达到30多万人的报考人数，人员之间流动较大，存在不可预知风险，即使做了核酸检测由于病毒存在潜伏期也可能存在无症状感染者，建议公务员考试时间延后以免给疫情防控带来压力,留言对象：云南省委书记王宁,"网民同志：您好！
       您通过人民网领导留言板给云南省委书记的留言已收悉，省公务员局高度重视，为贯彻落实云南省新冠肺炎疫情防控部署要求，保障广大考生和考试工作人员身体健康和生命安全，推迟考试公告已于2022年3月17日在云岭先锋网发布，笔试重启时间将根据疫情稳控情况另行通知。
        请你密切关注云岭先锋网云南省公务员招录专栏（http://www.ynylxf.cn/topicweb/ynskslygwy/index.html）发布的相关信息，了解掌握最新考试安排，同时自觉做好健康管理，加强个人防护，主动减少外出和聚集，做到非必要不前往国（境）外及国内疫情中高风险地区，以免影响参加考试。
       感谢您对我们工作的支持与理解，祝您身体健康，生活愉快！",2022-03-24 18:33,0.1389,0.8611,0.9877,0.0123
