Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重
工作,0.016,网友,0.030,工作,0.018,网友,0.017,网友,0.022,项目,0.018,网友,0.029,网友,0.020
网民,0.015,工作,0.028,网民,0.016,情况,0.012,情况,0.018,网友,0.016,收悉,0.019,工作,0.018
防控,0.014,收悉,0.026,回复,0.015,工作,0.011,回复,0.015,情况,0.012,工作,0.019,防控,0.016
相关,0.013,情况,0.022,相关,0.014,回复,0.010,收悉,0.015,年月日,0.011,相关,0.017,情况,0.013
工作人员,0.013,支持,0.022,情况,0.012,收悉,0.010,现将,0.014,工作,0.011,情况,0.016,相关,0.013
支持,0.012,回复,0.021,网友,0.012,支持,0.007,工作,0.013,相关,0.010,回复,0.013,收悉,0.012
政策,0.011,现将,0.016,核实,0.010,学习,0.007,防控,0.012,交房,0.010,办理,0.012,回复,0.010
回复,0.010,理解,0.016,支持,0.009,年月日,0.007,调查,0.012,核实,0.010,防控,0.012,人民网,0.010
人员,0.010,工作人员,0.014,防控,0.008,工作人员,0.006,小区,0.010,开发,0.010,人民网,0.012,答复,0.010
生活,0.010,相关,0.012,工作人员,0.007,街道,0.006,人民网,0.010,答复,0.010,现将,0.011,调查,0.008
电话,0.009,人民网,0.011,朋友,0.007,相关,0.006,街道,0.010,住房,0.010,年月日,0.010,留言板,0.008
理解,0.008,年月日,0.011,办理,0.007,建设,0.005,相关,0.008,收悉,0.009,建议,0.009,管理,0.007
情况,0.008,电话,0.009,街道,0.006,现将,0.005,工作人员,0.008,延期,0.009,部门,0.008,网民,0.007
网友,0.008,网民,0.008,年月日,0.006,调查,0.005,居民,0.008,交付,0.008,支持,0.008,现将,0.006
愉快,0.008,高度重视,0.008,核酸,0.006,资格,0.005,时间,0.007,城乡,0.007,高度重视,0.008,人员,0.006
社区,0.008,留言板,0.008,收悉,0.006,项目,0.004,高度重视,0.007,网民,0.007,人员,0.008,高度重视,0.006
祝您,0.008,调查,0.007,理解,0.005,依法,0.004,核实,0.007,调查,0.007,政策,0.008,小区,0.006
隔离,0.006,生活,0.007,人员,0.005,核实,0.004,物业,0.007,建设,0.007,答复,0.007,部门,0.006
核酸,0.006,祝您,0.007,小区,0.005,生活,0.004,留言板,0.007,办理,0.007,关心,0.007,工作人员,0.006
调查,0.006,沟通,0.007,电话,0.005,疑问请,0.004,社区,0.007,建设局,0.007,网民,0.007,年月日,0.005
