,word,counts
0,工作,8573
1,情况,5226
2,相关,5048
3,防控,4699
4,支持,4600
5,网友,4198
6,核酸,3923
7,回复,3446
8,检测,3335
9,工作人员,3206
10,人员,2893
11,理解,2795
12,小区,2709
13,收悉,2578
14,办理,2422
15,电话,2362
16,核实,2186
17,网民,2115
18,街道,2091
19,社区,2091
20,调查,2064
21,时间,2056
22,生活,2014
23,现将,1947
24,管理,1881
25,政策,1790
26,建议,1774
27,公司,1751
28,部门,1732
29,关注,1716
30,项目,1640
31,健康,1559
32,关心,1533
33,单位,1528
34,服务,1472
35,愉快,1463
36,祝您,1456
37,答复,1447
38,物业,1442
39,居民,1441
40,高度重视,1429
41,人民网,1414
42,提出,1358
43,沟通,1325
44,通知,1291
45,企业,1290
46,咨询,1283
47,采样,1187
48,做好,1176
49,告知,1150
50,措施,1117
51,监督,1110
52,安排,1103
53,建设,1096
54,业主,1087
55,考试,1070
56,医院,1022
57,落实,1015
58,有限公司,1004
59,影响,1003
60,隔离,969
61,现场,965
62,收到,954
63,供热,945
64,接种,919
65,指挥部,904
66,发展,881
67,市民,866
68,留言板,850
69,反馈,836
70,我市,833
71,保障,832
72,提供,827
73,解决,825
74,小时,819
75,责成,817
76,信息,816
77,希望,815
78,学校,807
79,意见,793
80,朋友,778
81,调整,770
82,组织,764
83,防疫,762
84,协调,762
85,开发,761
86,幼儿园,759
87,申请,755
88,身体健康,748
89,我局,746
90,进一步,745
91,证明,728
92,教育,723
93,管控,710
94,调查核实,708
95,群众,707
96,住房,705
97,中心,703
98,解释,689
99,办事处,688
100,市场,682
101,交付,667
102,督促,661
103,区域,657
104,第一,655
105,核查,654
106,疫苗,654
107,联系电话,653
108,卫生,649
109,诉求,642
110,地区,642
111,收费,630
112,施工,629
113,风险,629
114,学生,608
115,政府,605
116,物业公司,599
117,确保,598
118,延期,598
119,予以,596
120,垃圾,575
121,房屋,573
122,发布,572
123,宝贵,562
124,交房,561
125,发现,543
126,一步,536
127,合同,536
128,经营,536
129,社会,532
130,办公室,530
131,我区,521
132,设置,521
133,经查,513
134,方式,507
135,疑问,507
136,教育局,505
137,负责人,504
138,事项,504
139,登记,504
140,实施,502
141,导致,502
142,条件,497
143,车辆,496
144,费用,496
145,建局,496
146,人民政府,488
147,减免,483
148,居家,479
149,接到,475
150,信任,474
151,协商,474
152,文件,468
153,机构,464
154,投诉,464
155,原因,459
156,约定,458
157,整改,452
158,宣传,451
159,退费,448
160,标准,447
161,欢迎您,443
162,已于,441
163,常态,438
164,综合,435
165,研究,433
166,建议您,432
167,恢复,430
168,阴性,429
169,需求,426
170,城乡,422
171,拨打,415
172,点位,414
173,实行,413
174,检查,412
175,配合,409
176,劳动,408
177,开发商,407
178,城市,403
179,集团,391
180,供暖,390
181,支付,390
182,规范,388
183,考生,385
184,宝贵意见,383
185,委员会,381
186,业务,371
187,形势,371
188,监测,370
189,发放,370
190,服务中心,369
191,温度,367
192,患者,366
193,执行,365
194,统一,363
195,场所,362
196,计划,360
197,房地产,360
198,不便,359
199,验收,359
