内容,主题概率,主题类型
希望加大槐荫区西市场街道北大槐树家园北区电梯消毒频率，减少病毒传染风险。,"[(0, 0.015343049), (1, 0.9535479), (2, 0.015434138), (3, 0.015674908)]",1
"首先感谢疫情期间各级同志们辛苦的付出，你们的责任感和关心百姓看得到。
随着疫情的发展，病毒的病理本身也在发生变化。但除了防疫政策和现状数据的发布，对病毒本身科学的原理，毒性发展，目前致病性数据，百姓关心的如果阳性该以什么样的科学方法及理性心态去应对却教育的非常少，知识普及的非常少。
信息同步，科学应对，除了听政府的，也要懂原理，有对病毒理性的认知。
希望发挥我省我市所有官方媒体，专业媒体，大咖专家优势，将知识普及下去，大家明白了，理解了，也就放松了，听话了，接受了，心态好免疫力高了，防治更有信心了！
希望予以重视并真的去实施。感谢！","[(1, 0.97492063)]",1
朝阳区华威北里10号楼南侧，11号楼北侧绿地内，长期存在垃圾堆放问题，不仅影响城市环境，在疫情当下，更有可能滋生细菌病毒，希望相关部门认真处理，及时清理，并建立机制杜绝再次发生，死灰复燃。,"[(0, 0.010554191), (1, 0.01045633), (2, 0.010367633), (3, 0.96862185)]",3
尊敬的领导您好，我所住的小区，11号楼与10号楼之间有两个垃圾箱，原来是放在两个楼之间停车场那一侧的，不知道什么时候移动到小花园这边了。每天凌晨环卫单位清理垃圾的时候，我家都会产生垃圾的臭味，不知道其中是否有细菌，病毒。我家有一个刚出生的小婴儿。肺炎刚治愈刚出院，现在体温还是反复。恳请领导关怀，将这两个垃圾箱移动回原来的位置，不要放在我家楼下。万分感谢。,"[(1, 0.3699399), (3, 0.6127373)]",3
大连开发区旭辉公元与新青年汇交界处应该是一个美好环境。奈何不知道哪个部门不作为还是……卫生防疫做的相当不好。周围已经有人因为这样的环境生病了。希望领导重视，提上日程，让市民看到结果，没有消息只能往上面继续找。,"[(0, 0.96479475), (1, 0.011693019), (2, 0.01169792), (3, 0.011814354)]",0
"目前施家乐小区垃圾泛滥，持续已经半个多月，夏天来临，天气高温以及雨水发酵，目前已滋生了很多蚊虫、老鼠，恶臭难闻，可能会产生大量病毒，危害武陵源的生态环境以及大家的身体健康！在这样的恶臭下，老百姓如何生活呢？？吃饭的时候都不一定吃得下去！希望相关领导干部能出面解决一下！！给老百姓一个健康、干净的生活环境！感谢！

同时垃圾成堆这个事情！每年都要上演这么几出，至于是什么原因出现这类情况，作为老百姓也很疑惑，我们每年的物业费用、停车费用都是按时上交，小区还有额外收取的广告费用，难道这些还不能让物业正常运转吗？？小区财务管理到底是什么情况？我们从不得知！","[(1, 0.9746805)]",1
尊敬的领导您好，我系肾移植患者之一，咱们海南省这边的移植特殊门诊的额度只有4500。完全不够复查+抗排斥药+辅助药的！常规的复查药物浓度和彩超以及三个月一测的巨细胞病毒+jcv病毒+bk病毒检测等等。基本医疗得不到保障！对于我们这些没有收入的患者来说是雪上加霜。恳请领导帮帮我们这个急需帮助的群体吧。,"[(2, 0.97339576)]",2
4月29日，河南省医疗保障局等六部门联合印发《关于进一步降低新型冠状病毒核酸检测项目价格的通知》（豫医保办〔2022〕15号），明确自2022年5月1日起，新型冠状病毒核酸检测标本单采项目价格由18元/人次下调至14元/人次（不含核酸检测扩增试剂），新型冠状病毒核酸检测标本混采项目价格由8元/人次下调至4元/人次（含相关试剂及耗材）。然而河科大第五附属医院核酸单采费用却23.1。希望有关部门予以调整！,"[(1, 0.9748185)]",1
请问北京防疫政策中“14日内有1例以上(含1例)本土新冠病毒感染者所在县(市、区、旗)旅居史人员严格限制进(返)京”中的县(市、区、旗)是如何界定，同一城市的其他区域有本土新冠病毒感染者，影响邻区人员的进京吗？肿瘤病人手术有特殊政策吗，谢谢,"[(0, 0.010323734), (1, 0.010853156), (2, 0.96862656), (3, 0.010196568)]",2
目前，新冠疫情形势严峻，部分地区出现感染奥米克戎变异病毒，云南省考即将于3月26日举行，时间紧，今年达到30多万人的报考人数，人员之间流动较大，存在不可预知风险，即使做了核酸检测由于病毒存在潜伏期也可能存在无症状感染者，建议公务员考试时间延后以免给疫情防控带来压力,"[(2, 0.9735622)]",2
尊敬的书记先生，本人于今年7月24日在临汾市尧都区建设街564号**宠屋购买一只宠物狗，买下时商家承诺宠物健康无疾病且已接种一针疫苗。在交付时末能提供该狗的健康证明及疫苗接种证明。7月28日发现宠物狗有拉稀行为，并开始轻微呕吐。询问商家商家说吃坏肚子需喂益生菌7月29日上午见宠物狗病情未见好转，带狗去宠物医院诊疗，检测出细小病毒和犬冠病毒，了解过程中这两类病毒具有潜伏期。医生告知原告该治愈率极低并且治疗费用高昂。随即找到商家商家不予理睬，请问宠物这种问题该向哪个部门反映并且能合理解决问题。,"[(1, 0.97464615)]",1
应该全市消毒，舒兰前年新冠全市消毒，马路、小区、下水、全消毒，把病毒灭杀在空气中。,"[(0, 0.92848754), (1, 0.023988353), (2, 0.023766363), (3, 0.023757733)]",0
"城市的公共卫生间 有很常见现象 有使用者有使用后不冲水 或者 不及时冲水情况，这首先是污染了公共卫生间的环境和空气影响了市容市貌，同时，人的排泄物暴露在空气中长时间 就会形成病毒的气溶胶传播，同时因为公共卫生间又是 大量人员日常都会接触的空间，这样就会 产生传播病毒的隐患，交叉裂变传染。 

  建议改进改造 公共卫生间 蹲坑 的冲水 按键在人的正前方手可以触及的范围 现在大多数一般是在人身后 用脚踩才可以，同时配合宣传教育 让大家养成 排便立即冲水的习惯，这样一方面可以提高大家生活环境的质量，又可以对防治疫情有一定积极的效果，同时针对男厕所小便池异味现象 希望要求保洁人员每天用 84消毒液冲洗消除，可以解决问题","[(0, 0.97464484)]",0
民生路22号民香小区正门民生东五道街遗留下大批香坊区供水公司施工后的垃圾，沙子混凝土乱七八糟的，跟冰雪混合后都是泥巴了，遗留的沙子混合着泥土，占据了大部分小区的走路地面，已经一年了不清理，现在冰雪融化搞的很脏，一摊摊的造成病毒细菌大量繁殖，尤其现在防疫形势严峻，这种情况更加剧病毒的滋生，极大的危害防疫,"[(3, 0.97511804)]",3
"战胜新冠肺炎我的几点建议
——新冠肺炎传播途经的几点分析：
切断传播途经是控制传染病的一个有效办法，传播途经分很多种，呼吸道疾病的传播途经以空气传播为主要途经，但是间接传播也是不可忽视的途经，我们从各视角来分析一下：
一，空气里带病毒的颗粒与气溶胶直接传播大家比较理解，用的方法也知道用佩戴口罩来预防。
二，间接传播的路经：病人或无症状感染者的呼吸、咳嗽、打喷嚏、鼻涕、痰液等病源物直接排放在空气或地面及一些物品表面，排放在空气里的这些病毒源也与空气里的水分结合慢慢沉降于地面或物品表面；这些病源体在空中的停留时间长短与空气的湿度有关，冬天空气干燥没有水分与这些病源体结合，这些病源体在空气中漂浮时间就越久，空气传播的概率就越高。到春夏天空气湿度高，这些病源体的颗粒与气溶胶很快与空气中的水分结合，自身重量增加而下沉下来，春夏天多雨季节，雨水也清洁空气里的颗粒下沉至地面并冲走。
三，我的几点建议：
1，增加空气湿度是预防呼吸道传染病的一个有效办法，我们可以利用高层建筑物进行雾化空气，对高危病区进行全天候加湿及地面进行定期冲洗。有必要的时候进行人工降雨工程。
2，佩戴面罩：佩戴口罩手容易接触到鼻口三区，鼻口三角区是呼吸道传染病桥头堡，使用佩戴面罩有效控制手接触到鼻口三角区，佩戴有效过虑功能的面罩同样有效阻止病毒进入呼吸道。
3，佩戴手套：手是间接传播的唯一“桥梁”，佩戴手套能阻止病毒直接污染手部。
4，穿鞋套：我们为控制传染病进行全面的核酸检测，全部人员都要排队隔间一二米距离，但带病毒的人鞋底也带着病毒，因为他家里地面的病毒通过鞋底可以带到外面地面，鞋底是人体接触地面的唯一接触点，地面上的病源体经鞋底到处污染，特别污染到家里，场所。建议出门用鞋套，回家把鞋套集中在一个密封箱里统一处理。
传染病可怕，但科学地了解病毒的传染途经后解决起来也容易，我相信在我们党的领导下，最难的问题都可以解决，加油！","[(2, 0.9749034)]",2
本人生孩子检查出丙肝病毒携带者，请问在哪里可以买到吉三代，可以报销吗,"[(0, 0.9279245), (1, 0.0237677), (2, 0.0249644), (3, 0.023343377)]",0
想问一下第一针打的康希诺生物的腺病毒疫苗，加强针应该去哪打？,"[(0, 0.036420383), (1, 0.036847387), (2, 0.89054304), (3, 0.036189176)]",2
        尊敬的领导你好，我是一名乙肝患者，最近两年都在华西医院定期随访检查，看病，拿药，治疗，并在华西办了特殊病门诊，今日惊闻四川大学华西医院乙肝传染科特殊疾病门诊，自2022年12月3日下午起不能再开乙肝抗病毒的药物，韦立得 富马酸丙酚替诺福韦片；之前都是可以正常的开方拿药，乙肝抗病毒治疗不能停药，停药病毒就要反弹不受控制，之前去医院看病医生建议换成这款药，才过了几个月现在这药医院又不给开，请领导们听取广发患者的心声，帮忙处理一下这个问题。,"[(1, 0.9750429)]",1
