主题数,困惑度,一致性
2,471.17977610014015,0.2713769284018219
3,510.46490465603426,0.31243194678161784
4,541.8464658471605,0.3266128580846003
5,571.4713435086144,0.2951246221481227
6,610.5491682989125,0.29443481208171957
7,655.2504932926887,0.3613013280745638
8,749.9266994416048,0.39111477087428986
9,902.6389787614172,0.3584731983416469
10,1136.7738543702244,0.3401122354998443
11,1443.0046190699268,0.36690771661923355
12,1743.7701604674648,0.4051142683391198
13,2092.0931220411317,0.36831393982440797
14,2424.3553668763434,0.3844731109325636
