关键词,标题,提问时间,提问内容,地方,答复时间,官方答复
新冠_all,新冠疫苗,2022-01-31 15:40,本人在去年4月28号和6月9号，在大庄镇中心卫生院接种安徽智飞龙科马新冠疫苗第一针，第二针。由于工作原因，半年多没有及时接种第三针。不知道是重新接种新冠疫苗还是补打第三针新冠疫苗。,留言对象：河北省保定市市长闫继红,"您好，感谢您的留言，针对您提出的问题，经清苑区政府已核查，现将上报回复如下：
        经核实，您已接种第三针疫苗，此问题已解决。",2022-02-15 09:37
新冠_all,新冠疫苗,2022-04-21 08:14,因为我是在超过半年，才打完安徽智飞龙科马新冠疫苗第三针。因为接种第二针剂和接种第三针剂间隔时太长。想在贵阳，重新打安徽智飞龙科马三针剂的新冠疫苗。不知道那里可以打。,留言对象：贵州省贵阳市市长马宁宇,"网友您好！
    您咨询的问题，我市高度重视，立即转市卫生健康局研究处理，现回复如下：
    根据目前国家、贵州省疫苗接种相关政策:对全程完成新冠病毒灭活疫苗、腺病毒载体疫苗接种后满6个月的18岁及以上人群实施加强免疫接种。您接种的安徽智飞新冠疫苗为重组新冠疫苗(CHO细胞)，且已完成三针剂的全程接种，不符合加强免疫接种对象。
    市卫生健康局相关工作人员已联系您，并告知您相关情况，您表示认可。",2022-05-09 15:00
新冠_all,新冠疫苗,2022-12-11 18:39,锦江春天附近哪里能打新冠疫苗的地方，家里老人未打,留言对象：四川省成都市锦江区委书记,"网友您好。经对情况的认真核查，现回复如下：
    三圣街道疫苗接种点（锦江区海棠路131号）从2022年12月10日开始上午9：00—12：00，下午13：00—17：00开展疫苗接种，对市民免费开放。
    工作人员与您联系，您对办理结果表示满意。
    感谢您对我们工作支持与理解！",2023-01-09 13:32
新冠_all,新冠疫情,2022-01-11 10:18,现在新冠疫情反复，靠近年关，可否建议提前放假，居家隔离，完善核酸检测后，让民众能回家过年。,留言对象：广东省深圳市市长覃伟中,网民您好，您在人民网领导留言板上留言内容收悉。经核查，深圳市新型冠状病毒肺炎疫情防控指挥部办公室2022年1月28日发布通告，要求离深人员凭健康码“绿码”出行，落实“测温、扫码、戴口罩”防控措施；严格限制前往中、高风险地区及所在县（市、区、旗），非必要不前往中、高风险地区所在地市的其他县（市、区、旗）；避免非必要的跨境出行，尽量避免前往省外陆地边境口岸城市。严格按照国家、省有关要求确定离深政策。祝您身体健康，生活愉快。,2022-09-24 19:02
新冠_all,新冠疫苗接种,2022-05-19 16:05,领导你好，我是临济镇黄庙社区居民，因我们这里和名山交界，在开始打新冠疫苗的时候我是在名山打的，打了两次，现说有第三针新冠疫苗了，请问我是到名山打，还是可以在邛崃打，？,留言对象：四川省成都市邛崃市委书记,"网友，您好！您留言咨询的问题，经邛崃市临济镇人民政府调查核实，现答复如下：
经调查，你可在临济镇临济卫生院（地址：临济镇新街38号）接种第三针新冠疫苗，接种时间为每周二上午8点至中午12点。
以上情况，已于2022年5月24日11：20通过电话告诉了您，您表示知晓。
感谢您对我们工作的关心和支持，谢谢！",2022-06-21 17:19
新冠_all,新冠疫苗,2022-04-05 19:48,您好，本人在天津已接种三针新冠疫苗，在天津本地健康码津心办有记录，在黑龙江本地健康码没有接种记录，请问如何补录接种记录,留言对象：黑龙江省大庆市委书记李世峰,"网民朋友：
       您好！感谢您的留言。您反映黑龙江本地健康码没有新冠疫苗接种记录问题，大庆市信访局已于2022年4月11日交办肇州县立即办理，现将相关情况回复如下：
       经肇州县卫生健康局协调，已为您进行了疫苗接种的信息补全，您反映的问题已解决。
       如有需要，可拨打肇州县卫生健康局电话0459-8522418进行咨询。
",2022-04-14 16:19
新冠_all,希望接种新冠疫苗,2022-01-23 10:55,"从西安市政府新闻发布会获悉，预计
1月25日全市将全部降为低风险地区。看到消息，感到十分高兴。现在，我的孙女住在西安浐灞生态区棕榈阳光小区，今年11月27日，按照要求接种新冠疫苗第一针，根据接种疫苗规定，应该离接种第二针新冠病毒疫苗的最后期限马上到，可以，由于疫情阴霾影响，西安眼下没有接种新冠疫苗地方，孩子新冠病毒疫苗打不上，在此，希望西安有关部门予以帮助解决。非常感谢。",留言对象：陕西省西安市市长李明远,"网民朋友：
        您好！您反映的问题，经核实，目前暂未接到上级关于恢复接种新冠疫苗的相关通知。如果接到相关通知，浐灞生态区社会事业局将及时安排接种，也将第一时间发布相关公告。请您关注社区公告，感谢您对我们工作的理解和支持，祝您生活愉快！",2022-01-27 16:58
新冠_all,关于新冠疫苗,2022-07-20 17:49,尊敬的领导您好:我是乐亭县大相各庄乡一名村民，因为身体生病化疗有副作用需要长期吃药医生不建议接种新冠疫苗，今年身体好转了想接种新冠疫苗，发现我在2021年的时候已经接种了两次疫苗的信息，我根本没有接种，后来一打听说是信息被锁了，我想解开，去别处接种，不知道找哪个部门解决此事，希望领导给解决解决。,留言对象：河北省唐山市乐亭县委书记,网民您好，您的留言已收悉！经与属地乡镇和卫生部门核实，不存在您所反映的问题。感谢您对我们工作的关注与理解！,2022-08-03 10:15
新冠_all,新冠疫苗接种,2023-01-31 22:18,请问姑苏区新冠疫苗接种，是否要阳性后半年内才可以接种？如果没满半年可以吗？,留言对象：江苏省苏州市姑苏区委书记,网友，您好！根据您反映的问题，区民政与卫生健康局给出如下回复：根据《新冠病毒疫苗接种技术指南》规定，既往新冠肺炎病毒感染者（患者或无症状感染者），可在6个月后接种新冠病毒疫苗。建议接种前可咨询接种门诊医护人员，在医护人员指导下进行接种。 如您对部门回复有疑问或后续还有其他问题可拨打0512-12345进行反映，感谢您的支持与理解。,2023-02-03 16:36
新冠_all,新冠疫苗接种,2022-04-18 13:54,你好，我是孔明街道郭山村村民，家有13岁学生，如果要接种新冠疫苗，可以到哪里接种？需要带什么资料呢？,留言对象：四川省成都市邛崃市委书记,"网友，您好！您留言咨询的问题，经邛崃市孔明街道办调查核实，现答复如下：
经调查，目前我市12-17岁人群可接种新冠疫苗，受种者要在家长或者其他监护人陪同下到邛崃市医疗中心医院接种，接种时间为周三、周四、周日，上午8:00-12:00，下午14:00-17:00，准备好个人身份证或家庭户口簿，以及监护人身份证；受种者配合接种人员做好健康询问和知情告知工作；接种前避免受种者空腹、劳累，要让受种者在一个放松的状态下进行疫苗接种。对于每天疫苗接种安排，您可关注“健康邛崃官微”公众号。
以上情况工作人员已于2022年4月20日16时22分与您电话联系，您表示知晓。如果您今后还有类似问题需要反映或者咨询，您可致电028-88787031。
感谢您对我们工作的关心和支持，谢谢！",2022-04-29 16:06
